id,compressive,noncompressive
1,0.9,-0.9
2,-1.3,-3.3
3,0.4,-0.4
4,2.8,1.8
5,1.8,0.1
6,-1.9,-4.9
7,2.8,-1.7
8,-2.3,-3.4
9,-4,-3.1
10,0.5,0
11,-3.6,-5.4
12,1.6,1.1
13,0.5,-0.9
14,-0.1,-1
15,1.1,1.8
16,1.3,-0.4
17,-1.1,1.2
18,1.3,-0.4
19,1.4,-2.5
20,2.7,3.4
21,-2.5,-5.9
22,3.7,1.6
23,-5.5,-5.3
24,-1.1,1.5
25,4.6,3.6
26,4.6,3.6
27,-4.2,-6.5
28,5.8,5.4
29,1.2,0.6
30,-3,-1.6
31,-2.3,-3.6
32,5.1,3.2
33,2.1,2.5
34,0.6,0.6
35,7.9,9.3
36,0.3,-1.4
37,-3.1,-7
38,0.3,-1
39,0.3,-1
40,0.6,0.9
41,4.4,4.8
42,3.4,1.4
43,1.4,-1.7
44,0,-0.1
45,-0.8,-2.2
46,-2.8,-3
47,-0.7,0.8
48,-2.5,0.5
49,6.4,3
50,-5.9,-6.4
51,7.2,6
52,-1,1.4
53,0,1
54,1.2,3.4